number,value,datetime_start,datetime_complete,duration,params_dense_units,params_lstm_hidden,params_lstm_layers,user_attrs_epochs_por_split,user_attrs_mean_epoch,user_attrs_mean_test_auc,user_attrs_mean_val_auc,state
0,0.604764183780021,2026-04-16 10:26:22.614219,2026-04-16 11:00:56.295995,0 days 00:34:33.681776,112,160,1,"[59, 60, 39, 39, 60]",51.4,0.5017958412098299,0.604764183780021,COMPLETE
1,0.5885427543798584,2026-04-16 11:00:56.321113,2026-04-16 12:04:36.095927,0 days 01:03:39.774814,80,160,3,"[78, 41, 16, 22, 71]",45.6,0.5120037807183364,0.5885427543798584,COMPLETE
2,0.5895753567699269,2026-04-16 12:04:36.113335,2026-04-16 12:16:08.733887,0 days 00:11:32.620552,32,32,1,"[33, 100, 16, 96, 97]",68.4,0.5099243856332702,0.5895753567699269,COMPLETE
3,0.5938681981668407,2026-04-16 12:16:08.744774,2026-04-16 12:48:21.535365,0 days 00:32:12.790591,80,160,1,"[68, 90, 88, 37, 55]",67.6,0.5029300567107751,0.5938681981668407,COMPLETE
4,0.5588409328228333,2026-04-16 12:48:21.547138,2026-04-16 13:24:10.834186,0 days 00:35:49.287048,16,192,1,"[46, 27, 23, 97, 58]",50.2,0.5230623818525519,0.5588409328228333,COMPLETE
5,0.5906775728042696,2026-04-16 13:24:10.847045,2026-04-16 13:41:04.774952,0 days 00:16:53.927907,64,128,2,"[43, 74, 17, 30, 18]",36.4,0.5102079395085066,0.5906775728042696,COMPLETE
6,0.5925991994430908,2026-04-16 13:41:04.787084,2026-04-16 14:21:34.431068,0 days 00:40:29.643984,80,224,3,"[41, 39, 52, 19, 35]",37.2,0.5006616257088846,0.5925991994430908,COMPLETE
7,0.5966977027497389,2026-04-16 14:21:34.444604,2026-04-16 14:59:27.252026,0 days 00:37:52.807422,32,160,2,"[57, 49, 16, 25, 22]",33.8,0.5071833648393195,0.5966977027497389,COMPLETE
8,0.5606871446803573,2026-04-16 14:59:27.264969,2026-04-16 15:17:23.947494,0 days 00:17:56.682525,32,96,1,"[71, 19, 71, 25, 80]",53.2,0.515406427221172,0.5606871446803573,COMPLETE
9,0.5858212959740109,2026-04-16 15:17:23.961696,2026-04-16 16:30:48.806906,0 days 01:13:24.845210,16,160,3,"[68, 17, 46, 25, 65]",44.2,0.5072778827977316,0.5858212959740109,COMPLETE
10,0.6009093282283327,2026-04-16 16:30:48.820064,2026-04-16 17:07:52.548014,0 days 00:37:03.727950,128,256,2,"[60, 56, 62, 22, 50]",50.0,0.5147448015122874,0.6009093282283327,COMPLETE
11,0.6028033994662954,2026-04-16 17:07:52.560635,2026-04-16 18:07:55.814331,0 days 01:00:03.253696,128,256,2,"[57, 69, 94, 16, 30]",53.2,0.5052930056710775,0.6028033994662954,COMPLETE
12,0.6022972502610512,2026-04-16 18:07:55.829402,2026-04-16 19:00:57.362270,0 days 00:53:01.532868,128,256,2,"[35, 82, 96, 16, 30]",51.8,0.514366729678639,0.6022972502610512,COMPLETE
13,0.5713032254321846,2026-04-16 19:00:57.374224,2026-04-16 19:11:27.805058,0 days 00:10:30.430834,112,64,1,"[16, 27, 22, 52, 74]",38.2,0.5119092627599244,0.5713032254321846,COMPLETE
14,0.5992473024712843,2026-04-16 19:11:27.817477,2026-04-16 19:44:55.856677,0 days 00:33:28.039200,112,224,2,"[41, 45, 90, 19, 16]",42.2,0.49990548204158786,0.5992473024712843,COMPLETE
15,0.5919262675484396,2026-04-16 19:44:55.868767,2026-04-16 19:58:30.153597,0 days 00:13:34.284830,112,96,2,"[56, 72, 17, 16, 52]",42.6,0.5067107750472589,0.5919262675484396,COMPLETE
16,0.5927703329852652,2026-04-16 19:58:30.167952,2026-04-16 20:18:57.614756,0 days 00:20:27.446804,96,224,1,"[30, 58, 88, 16, 17]",41.8,0.5133270321361059,0.5927703329852652,COMPLETE
17,0.6026221139343311,2026-04-16 20:18:57.627364,2026-04-16 21:59:10.538877,0 days 01:40:12.911513,128,192,3,"[48, 76, 59, 17, 77]",55.4,0.49697542533081285,0.6026221139343311,COMPLETE
18,0.5910285415941525,2026-04-16 21:59:10.552829,2026-04-16 22:16:58.960197,0 days 00:17:48.407368,96,128,1,"[16, 51, 100, 20, 88]",55.0,0.5213610586011341,0.5910285415941525,COMPLETE
19,0.5860924991298295,2026-04-16 22:16:58.973011,2026-04-16 23:11:27.253809,0 days 00:54:28.280798,64,192,2,"[45, 58, 79, 20, 24]",45.2,0.4976370510396976,0.5860924991298295,COMPLETE
